Date,Open,High,Low,Close,Adj Close,Volume
2018-08-14,8945.040039,8991.809570,8940.589844,8971.940430,8971.940430,28042600
2018-08-15,8971.940430,8990.929688,8966.530273,8987.490234,8987.490234,22085000
2018-08-16,8987.490234,9003.059570,8966.160156,8998.910156,8998.910156,25863200
2018-08-17,8998.910156,9060.389648,8998.910156,9052.769531,9052.769531,19731300
2018-08-20,9052.769531,9109.150391,9047.099609,9109.150391,9109.150391,22027800
2018-08-21,9109.980469,9121.730469,9077.200195,9115.780273,9115.780273,23066400
2018-08-22,9115.780273,9169.490234,9112.860352,9162.610352,9162.610352,26366200
2018-08-23,9162.610352,9162.610352,9111.660156,9139.870117,9139.870117,22742400
2018-08-24,9139.870117,9162.349609,9125.660156,9159.629883,9159.629883,28542800
2018-08-27,9160.889648,9219.849609,9154.830078,9206.419922,9206.419922,20888800
2018-08-28,9206.419922,9216.410156,9204.650391,9214.019531,9214.019531,5793400
2018-08-29,9226.709961,9362.669922,9225.820313,9362.669922,9362.669922,42660300
2018-08-30,9369.780273,9369.780273,9319.849609,9339.879883,9339.879883,28547300
2018-08-31,9339.879883,9339.879883,9284.339844,9313.200195,9313.200195,31192800
2018-09-03,9313.200195,9313.200195,9224.330078,9257.290039,9257.290039,19024400
2018-09-04,9257.290039,9300.629883,9245.160156,9292.150391,9292.150391,26158500
2018-09-05,9294.419922,9311.690430,9218.379883,9228.000000,9228.000000,26710100
2018-09-06,9244.639648,9244.639648,9091.959961,9101.599609,9101.599609,22380300
2018-09-07,9101.599609,9110.000000,9060.940430,9095.389648,9095.389648,27520500
2018-09-10,9095.889648,9095.889648,9043.240234,9048.629883,9048.629883,21241100
2018-09-11,9049.839844,9225.570313,9049.839844,9225.570313,9225.570313,44229900
2018-09-12,9231.940430,9234.509766,9168.799805,9195.570313,9195.570313,26708800
2018-09-13,9201.049805,9248.990234,9163.000000,9248.990234,9248.990234,31958100
2018-09-14,9248.990234,9274.669922,9217.709961,9270.759766,9270.759766,27852100
2018-09-17,9270.759766,9279.889648,9243.559570,9271.530273,9271.530273,18029100
2018-09-18,9271.530273,9315.769531,9236.059570,9315.769531,9315.769531,28887300
2018-09-19,9315.769531,9345.059570,9310.589844,9345.059570,9345.059570,32679000
2018-09-20,9370.179688,9370.179688,9312.969727,9360.870117,9360.870117,29329900
2018-09-21,9360.870117,9375.969727,9315.929688,9375.969727,9375.969727,82471100
2018-09-24,9381.230469,9381.230469,9300.549805,9337.509766,9337.509766,21308900
2018-09-25,9337.509766,9345.959961,9300.509766,9345.959961,9345.959961,32026500
2018-09-26,9345.959961,9357.209961,9321.879883,9349.849609,9349.849609,35639400
2018-09-27,9367.589844,9367.589844,9286.400391,9286.400391,9286.400391,26576400
2018-09-28,9286.400391,9351.059570,9283.549805,9351.059570,9351.059570,35383500
2018-10-01,9352.690430,9352.690430,9304.799805,9327.269531,9327.269531,13607200
2018-10-02,9327.269531,9341.480469,9296.889648,9326.589844,9326.589844,29207400
2018-10-03,9326.589844,9329.849609,9282.750000,9293.950195,9293.950195,23964800
2018-10-04,9307.639648,9307.639648,9249.179688,9257.179688,9257.179688,27645000
2018-10-05,9257.179688,9257.179688,9192.620117,9214.870117,9214.870117,14812400
2018-10-08,9214.870117,9218.320313,9147.099609,9147.099609,9147.099609,16199100
2018-10-09,9147.099609,9147.099609,9055.459961,9069.980469,9069.980469,22473400
2018-10-10,9069.980469,9086.089844,9025.540039,9050.820313,9050.820313,24956600
2018-10-11,9050.820313,9050.820313,8721.200195,8721.200195,8721.200195,28518500
2018-10-12,8721.200195,8844.089844,8613.910156,8843.240234,8843.240234,27810200
2018-10-15,8843.240234,8980.280273,8833.940430,8838.070313,8838.070313,28573500
2018-10-16,8838.070313,8850.709961,8797.519531,8803.450195,8803.450195,24483300
2018-10-17,8803.450195,8946.980469,8803.450195,8911.790039,8911.790039,19834100
2018-10-18,8911.790039,8960.339844,8909.559570,8910.589844,8910.589844,21348200
2018-10-19,8910.589844,8910.589844,8793.190430,8802.259766,8802.259766,25382700
2018-10-23,8802.259766,8802.259766,8673.179688,8673.179688,8673.179688,31181300
2018-10-24,8673.179688,8673.179688,8632.150391,8642.240234,8642.240234,30038700
2018-10-25,8642.240234,8642.240234,8490.759766,8568.230469,8568.230469,29232100
2018-10-26,8568.230469,8648.959961,8544.419922,8568.400391,8568.400391,27369700
2018-10-29,8568.400391,8615.540039,8545.230469,8615.540039,8615.540039,15379500
2018-10-30,8615.540039,8648.379883,8558.219727,8648.379883,8648.379883,21936200
2018-10-31,8648.379883,8756.389648,8648.379883,8752.309570,8752.309570,36302800
2018-11-01,8752.309570,8856.000000,8739.950195,8843.830078,8843.830078,30790400
2018-11-02,8843.830078,8879.070313,8826.200195,8835.599609,8835.599609,27570400
2018-11-05,8835.599609,8835.599609,8778.780273,8778.780273,8778.780273,18093600
2018-11-06,8778.780273,8849.549805,8778.780273,8816.419922,8816.419922,28903900
2018-11-07,8816.419922,8854.790039,8774.570313,8854.790039,8854.790039,28025400
2018-11-08,8854.790039,8933.900391,8854.790039,8896.009766,8896.009766,21889800
2018-11-09,8896.009766,8931.400391,8889.599609,8931.400391,8931.400391,21373100
2018-11-12,8933.110352,8956.849609,8895.250000,8956.849609,8956.849609,18584500
2018-11-13,8959.339844,8959.339844,8838.839844,8861.519531,8861.519531,22280700
2018-11-14,8861.519531,8883.379883,8813.099609,8827.740234,8827.740234,28515200
2018-11-15,8827.740234,8827.740234,8768.669922,8825.889648,8825.889648,22069500
2018-11-16,8830.139648,8850.530273,8799.809570,8809.700195,8809.700195,18361800
2018-11-19,8809.700195,8829.019531,8785.379883,8792.929688,8792.929688,15910100
2018-11-20,8792.929688,8792.929688,8679.570313,8720.299805,8720.299805,33704600
2018-11-21,8720.299805,8720.299805,8652.370117,8672.400391,8672.400391,41177800
2018-11-22,8678.250000,8765.700195,8678.250000,8703.160156,8703.160156,36676200
2018-11-23,8703.160156,8732.049805,8701.379883,8701.379883,8701.379883,33037700
2018-11-26,8704.690430,8720.730469,8662.370117,8662.370117,8662.370117,20036000
2018-11-27,8662.370117,8708.910156,8662.370117,8673.820313,8673.820313,27408400
2018-11-28,8677.000000,8724.860352,8677.000000,8713.959961,8713.959961,25600600
2018-11-29,8713.959961,8824.639648,8713.959961,8794.879883,8794.879883,24507900
2018-11-30,8794.879883,8852.629883,8794.879883,8823.540039,8823.540039,61766800
2018-12-03,8828.629883,8895.230469,8828.629883,8876.089844,8876.089844,21534100
2018-12-04,8877.320313,8917.219727,8852.509766,8865.759766,8865.759766,27087800
2018-12-05,8865.759766,8865.759766,8724.519531,8781.530273,8781.530273,22964700
2018-12-06,8788.419922,8809.000000,8748.080078,8758.219727,8758.219727,26258200
2018-12-07,8763.530273,8792.849609,8735.030273,8767.320313,8767.320313,26537900
2018-12-10,8767.320313,8767.320313,8660.019531,8660.019531,8660.019531,15891100
2018-12-11,8660.530273,8702.139648,8660.530273,8670.940430,8670.940430,27334400
2018-12-12,8671.519531,8753.230469,8671.519531,8738.360352,8738.360352,28676600
2018-12-13,8738.360352,8801.629883,8738.360352,8793.169922,8793.169922,30111000
2018-12-14,8793.169922,8793.169922,8713.629883,8722.509766,8722.509766,37905300
2018-12-17,8722.509766,8745.589844,8657.059570,8745.589844,8745.589844,29479800
2018-12-18,8745.589844,8745.589844,8658.830078,8688.370117,8688.370117,33524400
2018-12-19,8688.370117,8762.190430,8688.370117,8762.190430,8762.190430,31057700
2018-12-20,8762.190430,8801.290039,8700.299805,8772.190430,8772.190430,26270200
2018-12-21,8772.190430,8772.190430,8660.849609,8686.190430,8686.190430,47882200
2018-12-24,8686.190430,8714.509766,8658.049805,8714.509766,8714.509766,9473100
2018-12-27,8714.509766,8841.980469,8714.509766,8774.519531,8774.519531,11066300
2018-12-28,8774.519531,8832.059570,8746.339844,8783.490234,8783.490234,8995800
2018-12-31,8783.490234,8824.269531,8764.790039,8811.269531,8811.269531,9270900
2019-01-03,8811.269531,8811.269531,8732.370117,8732.370117,8732.370117,20259300
2019-01-04,8732.370117,8743.759766,8664.500000,8743.759766,8743.759766,13963500
2019-01-07,8743.759766,8812.339844,8743.759766,8806.040039,8806.040039,16664800
2019-01-08,8807.120117,8831.129883,8792.830078,8821.150391,8821.150391,16723400
2019-01-09,8821.150391,8947.219727,8821.150391,8947.219727,8947.219727,20915400
2019-01-10,8947.219727,8954.440430,8887.110352,8919.160156,8919.160156,25129000
2019-01-11,8919.160156,8980.570313,8915.200195,8959.580078,8959.580078,14020100
2019-01-14,8959.580078,8971.519531,8938.019531,8968.549805,8968.549805,17849200
2019-01-15,8968.549805,8985.759766,8961.549805,8964.580078,8964.580078,25392800
2019-01-16,8964.580078,9028.490234,8964.580078,9027.440430,9027.440430,39796200
2019-01-17,9027.440430,9089.290039,9020.110352,9077.809570,9077.809570,27251600
2019-01-18,9077.809570,9119.700195,9077.809570,9097.709961,9097.709961,26558000
2019-01-21,9097.709961,9148.570313,9087.299805,9148.570313,9148.570313,14605700
2019-01-22,9148.570313,9153.589844,9114.629883,9114.629883,9114.629883,22690900
2019-01-23,9114.629883,9114.629883,9076.209961,9106.030273,9106.030273,16981400
2019-01-24,9106.030273,9109.769531,9088.809570,9108.910156,9108.910156,21416300
2019-01-25,9108.910156,9136.459961,9095.790039,9110.549805,9110.549805,26838900
2019-01-28,9110.549805,9124.330078,9103.280273,9114.519531,9114.519531,5187300
